Person,Board,Sector,Company Name,,Affiliation
Kemba Walden,Geo Tech Commission on Artificial Intelligence,Coorporation,Paladin,,
Ron Ash,Geo Tech Commission on Artificial Intelligence,Coorporation,Accenture,,
Amanda Deckard,Geo Tech Commission on Artificial Intelligence,Coorporation,Microsoft,,
Markham Erickson,Geo Tech Commission on Artificial Intelligence,Coorporation,Google,,
Ned Finkle ,Geo Tech Commission on Artificial Intelligence,Coorporation,NVIDIA,,
Rachel Gillum,Geo Tech Commission on Artificial Intelligence,Coorporation,Salesforce,,
Matthew Gravis,Geo Tech Commission on Artificial Intelligence,Coorporation,Atlassian,,
Sarah Heck,Geo Tech Commission on Artificial Intelligence,Coorporation,Anthropic,,
Nathan Jockel,Geo Tech Commission on Artificial Intelligence,Coorporation,Cisco,,
Dave Levy,Geo Tech Commission on Artificial Intelligence,Coorporation,Amazon,,
Tyson Lamoreaux,Geo Tech Commission on Artificial Intelligence,Coorporation,Arista,,
Chris Massey,Geo Tech Commission on Artificial Intelligence,Nonprofit,Foundation for American Innovation,,
Molly Montgomery ,Geo Tech Commission on Artificial Intelligence,Coorporation,Meta,,
Sridhar Ramaswamy,Geo Tech Commission on Artificial Intelligence,Coorporation,Snowflake,,
Brie Sasche,Geo Tech Commission on Artificial Intelligence,Coorporation,Siemens,,
Nabiha Syed,Geo Tech Commission on Artificial Intelligence,Nonprofit,,,Mozilla
Thomas Zacharia,Geo Tech Commission on Artificial Intelligence,Coorporation,AMD,,
Maria Ressa,Independent International Scientific Panel on AI,Academia,,,Columbia
Yoshua Bengio,Independent International Scientific Panel on AI,Academia,,,
Adji Dieng,Independent International Scientific Panel on AI,Academia,,,Princeton
Jian Wang,Independent International Scientific Panel on AI,Coorporation,Alibaba,,Zhejiang Lab
Piotr Sankowski,Independent International Scientific Panel on AI,Academia,,,University of Warsaw
Aleksandra Korolova,Independent International Scientific Panel on AI,Academia,,,Princeton
Joelle Barral,Independent International Scientific Panel on AI,Coorporation,Google,,
Qinghua Lu,Independent International Scientific Panel on AI,Government,,,Australia
Alvitta Ottley,Independent International Scientific Panel on AI,Academia,,,Washington University St Louis
Johanna Pirker,Independent International Scientific Panel on AI,Academia,,,"Technical University of Munich, Graz University of Technology"
Rita Orji,Independent International Scientific Panel on AI,Academia,,,Dalhousie University
Andrei Neznamov,Independent International Scientific Panel on AI,Coorporation,Sberbank,,
Joyce Nabende,Independent International Scientific Panel on AI,Academia,,,Makerere University
Roman Orus,Independent International Scientific Panel on AI,Coorporation,Multiverse Computing,,
Anna Korhonen,Independent International Scientific Panel on AI,Academia,,,University of Cambridge
Juho Kim,Independent International Scientific Panel on AI,Academia,,,Korea Advanced Institute of Science & Technology
Silvio Salvarese,Independent International Scientific Panel on AI,Coorporation,Salesforce,,Stanford
Awa Drame,Independent International Scientific Panel on AI,Coorporation,CoastGIS,,University College London
Leslie Teo,Independent International Scientific Panel on AI,Government,,,AI Singapore
Sonia Livingstone,Independent International Scientific Panel on AI,Academia,,,London School of Economics
Balaraman Ravindran,Independent International Scientific Panel on AI,Academia,,,Indian Institute of Technology Madras
Lior Rokach,Independent International Scientific Panel on AI,Academia,,,Ben-Gurion University
Tegawendé Bissyandé,Independent International Scientific Panel on AI,Academia,,,University of Luxembourg
Bernhard Schölkopf,Independent International Scientific Panel on AI,Academia,,,ETH Zurich
Loreto Bravo,Independent International Scientific Panel on AI,Academia,,,Universidad del Desarrollo
Teresa Ludermir,Independent International Scientific Panel on AI,Academia,,,Federal University of Pernambuco
Bilal Mateen,Independent International Scientific Panel on AI,Coorporation,PathAI,,
Mark Coeckelbergh,Independent International Scientific Panel on AI,Academia,,,University of Vienna
Tuka Alhanai,Independent International Scientific Panel on AI,Academia,,,NYU
Carlos Coello Coello,Independent International Scientific Panel on AI,Academia,,,UNSW School of Engineering and Information Technology
Martha Palmer,Independent International Scientific Panel on AI,Academia,,,UC Boulder
Vipin Kumar,Independent International Scientific Panel on AI,Academia,,,University of Minnesota
Girmaw Abebe Tadesse,Independent International Scientific Panel on AI,Coorporation,Microsoft,,
Maximilian Nickel,Independent International Scientific Panel on AI,Coorporation,Meta,,
Vukosi Marivate,Independent International Scientific Panel on AI,Academia,,,University of Pretoria
Haitao Song,Independent International Scientific Panel on AI,Academia,,,Shanghai Jiao Tong University
Melahat Bilge Demirköz,Independent International Scientific Panel on AI,Academia,,,Middle East Technical University
Yutaka Matsuo,Independent International Scientific Panel on AI,Academia,,,University of Tokyo
Mennatallah El-Assady,Independent International Scientific Panel on AI,Academia,,,ETH Zurich
Hoda Heidari,Independent International Scientific Panel on AI,Academia,,,Carnegie Mellon
Anna Abramova,United Nations AI Advisory Board,Academia,,,Mscow State Institute of International Relations
Omar Sultan Al Olama,United Nations AI Advisory Board,Government,,,UAE
Latifa Al-Abdulkarim,United Nations AI Advisory Board,Academia,,,King Saud University
Estela Aranha,United Nations AI Advisory Board,Government,,,Brazil
Ran Balicer,United Nations AI Advisory Board,Nonprofit,,,Clalit Health Services
Paolo Benanti,United Nations AI Advisory Board,Academia,,,Pontifical Gregorian University
Abeba Birhane,United Nations AI Advisory Board,Nonprofit,,,Mozilla
Ian Bremmer,United Nations AI Advisory Board,Coorporation,Eurasia Group,,
Anna Christmann,United Nations AI Advisory Board,Government,,,Germany
Natasha Crampton,United Nations AI Advisory Board,Coorporation,Microsoft,,
Nighat Dad,United Nations AI Advisory Board,Nonprofit,,,Digital Rights Foundation
Vilas Dhar,United Nations AI Advisory Board,Nonprofit,,,Patrick J. McGovern Foundation
Virginia Dignum,United Nations AI Advisory Board,Academia,,,Umeå University
Arisa Ema,United Nations AI Advisory Board,Academia,,,University of Tokyo
Mohamed Farahat,United Nations AI Advisory Board,Nonprofit,,,Internet Governance Forum
Amandeep Singh Gill,United Nations AI Advisory Board,Government,UN,,
Wendy Hall,United Nations AI Advisory Board,Academia,,,University of Southampton 
Rahaf Harfoush,United Nations AI Advisory Board,Academia,,,Sciences Po
Hiroaki Kitano,United Nations AI Advisory Board,Coorporation,Sony,,
Haksoo Ko,United Nations AI Advisory Board,Government,,,Korea
Andreas Krause,United Nations AI Advisory Board,Academia,,,ETH Zurich
Maria Vanina Martinez Posse,United Nations AI Advisory Board,Academia,,,University of Barcelona
Seydina Moussa Ndiaye,United Nations AI Advisory Board,Academia,,,Cheikh Hamidou Kane Digital University
Mira Murati,United Nations AI Advisory Board,Coorporation,OpenAI,,
Petri Myllymaki,United Nations AI Advisory Board,Academia,,,University of Helsinki
Alondra Nelson,United Nations AI Advisory Board,Academia,,,Institute for Advanced Study
Nazneen Rajani,United Nations AI Advisory Board,Coorporation,Collinear AI,,
Craig Ramlal,United Nations AI Advisory Board,Academia,,,The University of The West Indies at St. Augustine
He Ruimin,United Nations AI Advisory Board,Government,,,Singapore
Emma Ruttkamp-Bloem,United Nations AI Advisory Board,Academia,,,University of Pretoria
Marietje Schaake,United Nations AI Advisory Board,Academia,,,Stanford
Sharad Sharma,United Nations AI Advisory Board,Nonprofit,,,iSPIRIT
Jaan Tallinn,United Nations AI Advisory Board,Academia,,,Cambridge University
Philip Thigo,United Nations AI Advisory Board,Government,,,Kenya
Jimena Sofia Viveros Alvarez,United Nations AI Advisory Board,Government,,,Mexico
Yi Zeng,United Nations AI Advisory Board,Academia,,,Chinese Academy of Science
Zhang Linghan,United Nations AI Advisory Board,Academia,,,China University of Political Science and Law
Abel Torres,OECD Expert Group on Trustworthy AI Investment,Government,,,US Chamber of Commerce
Amir Banifatemi,OECD Expert Group on Trustworthy AI Investment,Coorporation,Cognizant,,
Antonio Garbaccio,OECD Expert Group on Trustworthy AI Investment,Coorporation,Intesa Sanpaolo,,
Ash Tutika,OECD Expert Group on Trustworthy AI Investment,Coorporation,Insight Partners ,,
Austin Metsch,OECD Expert Group on Trustworthy AI Investment,Coorporation,S&P Global,,
Alex Badalian,OECD Expert Group on Trustworthy AI Investment,Coorporation,Alpha Intelligence,,
Constance Mickiewicz,OECD Expert Group on Trustworthy AI Investment,Government,,,France
Elham Tabassi,OECD Expert Group on Trustworthy AI Investment,Nonprofit,,,Brookings
Francesca Rossi,OECD Expert Group on Trustworthy AI Investment,Coorporation,IBM,,
Gregory Brown,OECD Expert Group on Trustworthy AI Investment,Academia,,,UNC
Jerome Nicolai,OECD Expert Group on Trustworthy AI Investment,Coorporation,Omidyar Network,,
Lee Wan Sie,OECD Expert Group on Trustworthy AI Investment,Government,,,Singapore
Mehdi Snene,OECD Expert Group on Trustworthy AI Investment,Government,,,UN
Michelle Ramsden,OECD Expert Group on Trustworthy AI Investment,Government,,,US
Mohamed Nanabhay,OECD Expert Group on Trustworthy AI Investment,Nonprofit,,,Mozilla
Sarith Felber,OECD Expert Group on Trustworthy AI Investment,Government,,,Israel
Ulrike Moetzel,OECD Expert Group on Trustworthy AI Investment,Government,,,Germany
Yorai Fainmesser,OECD Expert Group on Trustworthy AI Investment,Coorporation,Disruptive AI,,
,,,,,
Alessandro Mantelero,"OECD Expert Group on AI, Data and Privacy",Academia,,,Polytechnic University of Turin
Alexandra Ebert,"OECD Expert Group on AI, Data and Privacy",Coorporation,MOSTLY AI,,
Amanda Leal,"OECD Expert Group on AI, Data and Privacy",Coorporation,Health AI,,
Amber Sinha,"OECD Expert Group on AI, Data and Privacy",Nonprofit,,,Mozilla
Andrew Jerrard,"OECD Expert Group on AI, Data and Privacy",Coorporation,Bristows,,
Anna Johnston,"OECD Expert Group on AI, Data and Privacy",Coorporation,Salinger Privacy,,
Arnaud David,"OECD Expert Group on AI, Data and Privacy",Coorporation,Amazon,,
Arnav Joshi,"OECD Expert Group on AI, Data and Privacy",Coorporation,Perkins Coie,,
Aurelien Bellet,"OECD Expert Group on AI, Data and Privacy",Academia,,,French Institute for Research in Computer Science and Automation
Brian Quirk,"OECD Expert Group on AI, Data and Privacy",Coorporation,Microsoft,,
Byoungpil Kim,"OECD Expert Group on AI, Data and Privacy",Academia,,,Korea Advanced Institute of Science and Technology
Calos Muñoz Ferrandis,"OECD Expert Group on AI, Data and Privacy",Coorporation,Alinia AI,,
Crolyn Nguyen,"OECD Expert Group on AI, Data and Privacy",Coorporation,Microsoft,,
Dan Salsburg,"OECD Expert Group on AI, Data and Privacy",Government,,,US
Daniele Nardi,"OECD Expert Group on AI, Data and Privacy",Academia,,,Sapienza University of Rome
Derek Ho,"OECD Expert Group on AI, Data and Privacy",Coorporation,Mastercard,,
Félicien Vallet,"OECD Expert Group on AI, Data and Privacy",Government,,,France
Fereniki Panagopoulou,"OECD Expert Group on AI, Data and Privacy",Academia,,,Panteion University
Gerald Hopster,"OECD Expert Group on AI, Data and Privacy",Government,,,Netherlands
Helena Quinn,"OECD Expert Group on AI, Data and Privacy",Government,,,UK
Igor Perisic,"OECD Expert Group on AI, Data and Privacy",Coorporation,LinkedIn,,
Isil Selen Denemeç,"OECD Expert Group on AI, Data and Privacy",Government,,,Turkey
Jessica Colnago,"OECD Expert Group on AI, Data and Privacy",Government,,,US
Jesus Sanchez,"OECD Expert Group on AI, Data and Privacy",Government,,,Mexico
Kari Laumann,"OECD Expert Group on AI, Data and Privacy",Government,,,Norway
Karima Noren,"OECD Expert Group on AI, Data and Privacy",Coorporation,Privacy Compliance Hub,,
Kyoungjin Choi,"OECD Expert Group on AI, Data and Privacy",Academia,,,Gachon University
Lucas Anjos,"OECD Expert Group on AI, Data and Privacy",Government,,,Brazil
Luis Ricardo Sanchez Hernandez,"OECD Expert Group on AI, Data and Privacy",Government,,,Mexico
Majed Alshammari,"OECD Expert Group on AI, Data and Privacy",Government,,,Saudi Arabia
Manuela Siano,"OECD Expert Group on AI, Data and Privacy",Government,,,Italy
Marc Rotenberg,"OECD Expert Group on AI, Data and Privacy",Nonprofit,,,Center for AI and Digital Policy
Maria Rosario Heras Carrasco,"OECD Expert Group on AI, Data and Privacy",Government,,,EU
Matthew O'Shaughnessy,"OECD Expert Group on AI, Data and Privacy",Government,,,US
Nathalie Smuha,"OECD Expert Group on AI, Data and Privacy",Academia,,,University of Toronto
Nozha Boujemaa,"OECD Expert Group on AI, Data and Privacy",Coorporation,Decathlon,,
Pavol Fukatsch,"OECD Expert Group on AI, Data and Privacy",Government,,,Slovakia
Rafaela Nicolazzi,"OECD Expert Group on AI, Data and Privacy",Coorporation,Google,,
Reuven Eidelman,"OECD Expert Group on AI, Data and Privacy",Government,,,Israel
Reza Shokri,"OECD Expert Group on AI, Data and Privacy",Academia,,,National University of Singapore
Roberto Lattanzi,"OECD Expert Group on AI, Data and Privacy",Government,,,Italy
Runa Angus,"OECD Expert Group on AI, Data and Privacy",Government,,,Canada
Sam Schofield,"OECD Expert Group on AI, Data and Privacy",Government,,,US
Tamiko Eto,"OECD Expert Group on AI, Data and Privacy",Nonprofit,,,Mayo Clinic
Thiago Guimaraes Moraes,"OECD Expert Group on AI, Data and Privacy",Government,,,Brazil
Vance Lockton,"OECD Expert Group on AI, Data and Privacy",Government,,,Canada
Var Shankar,"OECD Expert Group on AI, Data and Privacy",Nonprofit,,,Council on AI Governance
Vincenzo Tiani,"OECD Expert Group on AI, Data and Privacy",Coorporation,Panetta Law,,
Winston Maxwell,"OECD Expert Group on AI, Data and Privacy",Academia,,,Polytechnic Institute of Paris
Yong Lim,"OECD Expert Group on AI, Data and Privacy",Academia,,,Seoul National University
Abeba Birhane,OECD Expert Group on AI Risk and Accountability,Nonprofit,,,Mozilla
Aida Ponce,OECD Expert Group on AI Risk and Accountability,Government,,,EU
Amanda Craig,OECD Expert Group on AI Risk and Accountability,Coorporation,Microsoft,,
Andre Nakazawa,OECD Expert Group on AI Risk and Accountability,Coorporation,Google,,
Andrea Renda,OECD Expert Group on AI Risk and Accountability,Nonprofit,,,Center for European Policy Studies
Arisa Ema,OECD Expert Group on AI Risk and Accountability,Academia,,,University of Tokyo
Armando Guio-Espanol,OECD Expert Group on AI Risk and Accountability,Academia,,,Global Network of Internet and Society Research Centers
Ashley Casovan,OECD Expert Group on AI Risk and Accountability,Nonprofit,,,International Association of Privacy Professionals
Auke Pals,OECD Expert Group on AI Risk and Accountability,Coorporation,KPMG,,
Barry O'Brien,OECD Expert Group on AI Risk and Accountability,Coorporation,IBM,,
Benjamin Prud'Homme,OECD Expert Group on AI Risk and Accountability,Academia,,,Quebec AI Institute
Brian Anderson,OECD Expert Group on AI Risk and Accountability,Nonprofit,,,Coalition for Health AI
Camila Alejandra Beltran Reyes,OECD Expert Group on AI Risk and Accountability,Government,,,Columbia
Carlos Muñoz Ferrandis,OECD Expert Group on AI Risk and Accountability,Coorporation,Alinia AI,,
Carolyn Nguyen,OECD Expert Group on AI Risk and Accountability,Coorporation,Microsoft,,
Cheryl Brooks,OECD Expert Group on AI Risk and Accountability,Coorporation,AT&T,,
Coran Darling,OECD Expert Group on AI Risk and Accountability,Coorporation,DLA Piper,,
Cornelia Kutterer,OECD Expert Group on AI Risk and Accountability,Academia,,,University Grenoble
Courtney Lang,OECD Expert Group on AI Risk and Accountability,Nonprofit,,,Information Technology Industry Council
Cristina Pombo,OECD Expert Group on AI Risk and Accountability,Coorporation,Inter-American Development Bank,,
Daniel Schwabe,OECD Expert Group on AI Risk and Accountability,Academia,,,Catholic University in Rio de Janeiro
Danit Gal,OECD Expert Group on AI Risk and Accountability,Government,,,UN
David Marti,OECD Expert Group on AI Risk and Accountability,Coorporation,Pour Demain,,
Deborah Raji,OECD Expert Group on AI Risk and Accountability,Nonprofit,,,Mozilla
Dennis Hirsch,OECD Expert Group on AI Risk and Accountability,Academia,,,Ohio State University
Dewey Murdick,OECD Expert Group on AI Risk and Accountability,Academia,,,Georgetown
Eden Israely,OECD Expert Group on AI Risk and Accountability,Government,,,Israel
Elham Tabassi,OECD Expert Group on AI Risk and Accountability,Nonprofit,,,Brookings
Elisa Fromont,OECD Expert Group on AI Risk and Accountability,Academia,,,Université de Rennes
Elonnai Hickok,OECD Expert Group on AI Risk and Accountability,Government,,,Global Network Initiative
Emily Campbell-Ratcliffe,OECD Expert Group on AI Risk and Accountability,Government,,,UK
Emmanuel Kahembwe,OECD Expert Group on AI Risk and Accountability,Coorporation,VDE,,
Eva Thelisson,OECD Expert Group on AI Risk and Accountability,Nonprofit,,,AI Transparency Institute
Evi Fuelle,OECD Expert Group on AI Risk and Accountability,Coorporation,Credo AI,,
Fahad Ali Albalawi,OECD Expert Group on AI Risk and Accountability,Government,,,Saudi Arabia
Henry Ajder,OECD Expert Group on AI Risk and Accountability,Coorporation,BBC,,
Henry Papadatos,OECD Expert Group on AI Risk and Accountability,Nonprofit,,,SaferAI
Igor Perisic,OECD Expert Group on AI Risk and Accountability,Coorporation,LinkedIn,,
Ilya Meyzin,OECD Expert Group on AI Risk and Accountability,Coorporation,Dun and Bradstreet,,
Irina Orssich,OECD Expert Group on AI Risk and Accountability,Government,,,EU
Isabel Ebert,OECD Expert Group on AI Risk and Accountability,Government ,,,UN
Jens-Henrik Jeppesen,OECD Expert Group on AI Risk and Accountability,Coorporation,Workday,,
Jimena Viveros,OECD Expert Group on AI Risk and Accountability,Coorporation,IQuilibriumAI,,
Jocelyn Cascio,OECD Expert Group on AI Risk and Accountability,Coorporation,Intel,,
John Miller,OECD Expert Group on AI Risk and Accountability,Nonprofit,,,Information Technology Industry Council
Jonas Schuett,OECD Expert Group on AI Risk and Accountability,Nonprofit,,,Centre for the Governance of AI
Juraj Corba,OECD Expert Group on AI Risk and Accountability,Government,,,Slovakia
Kai Zenner,OECD Expert Group on AI Risk and Accountability,Government,,,MEP - Axel Voss
Kate Kaye,OECD Expert Group on AI Risk and Accountability,Nonprofit,,,World Privacy Forum
Lee Wan Sie,OECD Expert Group on AI Risk and Accountability,Government,,,Singapore
Liming Zhu,OECD Expert Group on AI Risk and Accountability,Government ,,,Australia
Machiel Bolhuis,OECD Expert Group on AI Risk and Accountability,Coorporation,Oracle,,
Mahendra Samarawickrama,OECD Expert Group on AI Risk and Accountability,Nonprofit,,Centre for Sustainable AI,
Marjoleine Hennis,OECD Expert Group on AI Risk and Accountability,Government ,,,Netherlands
Matthew O'Shaughnessy,OECD Expert Group on AI Risk and Accountability,Government,,,US
Matthew Smith,OECD Expert Group on AI Risk and Accountability,Government ,,,Canada
Mehmet Haklidir,OECD Expert Group on AI Risk and Accountability,Government,,,Turkey
Merve Hickok,OECD Expert Group on AI Risk and Accountability,Nonprofit,,,Center for AI and Digital Policy
Michael Schoenstein,OECD Expert Group on AI Risk and Accountability,Government,,,Germany
Michel Morvan,OECD Expert Group on AI Risk and Accountability,Coorporation,Cosmo Tech,,
Mihalis Kritikos,OECD Expert Group on AI Risk and Accountability,Government,,,EU
Nicklas Lundbald,OECD Expert Group on AI Risk and Accountability,Coorporation,Google,,
Nicolas Blanc,OECD Expert Group on AI Risk and Accountability,Government ,,,France
Nicolas Moes ,OECD Expert Group on AI Risk and Accountability,Nonprofit,,,The Future Society
Nozha Boujemaa,OECD Expert Group on AI Risk and Accountability,Coorporation,Decathlon,,
Oiver Patel,OECD Expert Group on AI Risk and Accountability,Coorporation,AstraZeneca,,
Olivia Erdelyi,OECD Expert Group on AI Risk and Accountability,Academia,,,University of Canterbury
Osamu Sudoh,OECD Expert Group on AI Risk and Accountability,Academia,,,University of Tokyo
Oscar Hjelde,OECD Expert Group on AI Risk and Accountability,Coorporation,Norges Bank,,
Osman Gucluturk,OECD Expert Group on AI Risk and Accountability,Coorporation,Holistic AI,,
Pam Dixon,OECD Expert Group on AI Risk and Accountability,Nonprofit,,,World Privacy Forum
Pamela Wood,OECD Expert Group on AI Risk and Accountability,Coorporation,HP,,
Peter Chapman,OECD Expert Group on AI Risk and Accountability,Academia,,,Georgetown
Rachel Widdis,OECD Expert Group on AI Risk and Accountability,Article One,,,
Rayid Ghani,OECD Expert Group on AI Risk and Accountability,Academia,,,Carnegie Mellon
Rebecca Anselmetti,OECD Expert Group on AI Risk and Accountability,Government,,,UK
Rocio de la Cruz,OECD Expert Group on AI Risk and Accountability,Coorporation,OpenText,,
Sally Radwan,OECD Expert Group on AI Risk and Accountability,Government ,,,UN
Saurabh Mishra,OECD Expert Group on AI Risk and Accountability,Coorporation,Taiyo.AI,,
Sebastian Hallensleben,OECD Expert Group on AI Risk and Accountability,Coorporation,Resaro,,
Tatjana Evas,OECD Expert Group on AI Risk and Accountability,Government,,,EU
Theodoros Evgeniou,OECD Expert Group on AI Risk and Accountability,Academia,,,INSEAD
Thiago Guimaraes Moraes,OECD Expert Group on AI Risk and Accountability,Government,,,Brazil
Till Klein,OECD Expert Group on AI Risk and Accountability,Coorporation,appliedAI,,
Toni Lorente,OECD Expert Group on AI Risk and Accountability,Nonprofit,,,The Future Society
Umang Bhatt,OECD Expert Group on AI Risk and Accountability,Nonprofit,,,Alan Turing Institute
Vanja Skoric,OECD Expert Group on AI Risk and Accountability,Nonprofit,,,European Center for Not-for-profit Law
Victor Bernhartz,OECD Expert Group on AI Risk and Accountability,Coorporation,Unionen,,
Vinay Jayarama Setty,OECD Expert Group on AI Risk and Accountability,Coorporation,Factiverse,,
Vincent Müller,OECD Expert Group on AI Risk and Accountability,Academia,,,University Erlangen-Nurnberg
Willaim Carter,OECD Expert Group on AI Risk and Accountability,Coorporation,Google,,
Yeong Zee Kin,OECD Expert Group on AI Risk and Accountability,Academia,,,Singapore Academy of Law
Yoav Evenstein,OECD Expert Group on AI Risk and Accountability,Academia,,,Tel Aviv University
Yolanda Lannquist,OECD Expert Group on AI Risk and Accountability,Nonprofit,,,The Future Society
Yordanka Ivanova,OECD Expert Group on AI Risk and Accountability,Government,,,EU
Marc Andreessen,President's Council of Advisors on Science and Technology,Coorporation,Andreessen Horowitz,,
Sergey Brin,President's Council of Advisors on Science and Technology,Coorporation,Google,,
Safra Catz,President's Council of Advisors on Science and Technology,Coorporation,Oracle,,
Michael Dell,President's Council of Advisors on Science and Technology,Coorporation,Dell,,
Jacob DeWitte,President's Council of Advisors on Science and Technology,Coorporation,Okolo,,
Fred Ehrsam,President's Council of Advisors on Science and Technology,Coorporation,Coinbase,,
Larry Ellison,President's Council of Advisors on Science and Technology,Coorporation,Oracle,,
David Friedberg,President's Council of Advisors on Science and Technology,Coorporation,Ohalo,,
Jensen Huang,President's Council of Advisors on Science and Technology,Coorporation,NVIDIA,,
John Martinis,President's Council of Advisors on Science and Technology,Academia,,,UC Berkeley
Bob Mumgaard,President's Council of Advisors on Science and Technology,Coorporation,Comonwealth Fusion Systems,,
Lisa Su,President's Council of Advisors on Science and Technology,Coorporation,AMD,,
Mark Zuckerberg,President's Council of Advisors on Science and Technology,Coorporation,Meta,,
Aneesh Chopra,National AI Advisory Committee,Coorporation,Arcadia,,
Beth Cobert,National AI Advisory Committee,Coorporation,CBRE Group,,
Angie Cooper,National AI Advisory Committee,Nonprofit,,,Heartland Forward
Christopher Howard,National AI Advisory Committee,Government,,,ASU Police
Armando Aguilar,National AI Advisory Committee,Government,,,Miami Police
Anthony Bak,National AI Advisory Committee,Coorporation,Palantir,,
Jane Bambauer,National AI Advisory Committee,Academia,,,University of Florida
Farhang Heydari,National AI Advisory Committee,Academia,,,Vanderbilt
James Hutchison,National AI Advisory Committee,Nonprofit,,,Security Industry Association
Rashawn Roy,National AI Advisory Committee,Nonprofit,,,AIR Equity Initiative
Cynthia Rudin,National AI Advisory Committee,Academia,,,Duke University
Abdelrahman Almahmoud,World Economic Forum Global Future Council on Artificial General Intelligence,Government,,,UAE
Akiko Murakami,World Economic Forum Global Future Council on Artificial General Intelligence,Government,,,Japan
Atoosa Kasirzadeh,World Economic Forum Global Future Council on Artificial General Intelligence,Academia,,,Carnegie Mellon
Beth Barnes,World Economic Forum Global Future Council on Artificial General Intelligence,Nonprofit,,,METR
Chris Meserole,World Economic Forum Global Future Council on Artificial General Intelligence,Nonprofit,,,Frontier Model Forum
Dan Hendrycks,World Economic Forum Global Future Council on Artificial General Intelligence,Nonprofit,,,Center for AI Safety
Dawn Bloxwich,World Economic Forum Global Future Council on Artificial General Intelligence,Coorporation,Google,,
Dawn Song,World Economic Forum Global Future Council on Artificial General Intelligence,Academia,,,UC Berkeley
Hiroaki Kitano,World Economic Forum Global Future Council on Artificial General Intelligence,Coorporation,Sony,,
Jaan Tallinn,World Economic Forum Global Future Council on Artificial General Intelligence,Academia,,,Cambridge University
Kristin Lauter,World Economic Forum Global Future Council on Artificial General Intelligence,Coorporation,Meta,,
Max Tegmark,World Economic Forum Global Future Council on Artificial General Intelligence,Academia,,,MIT
Natasha Crampton,World Economic Forum Global Future Council on Artificial General Intelligence,Coorporation,Microsoft,,
Rebecca Weiss,World Economic Forum Global Future Council on Artificial General Intelligence,Nonprofit,,,MLCommons
Sella Nevo,World Economic Forum Global Future Council on Artificial General Intelligence,Nonprofit,,,RAND
Seung Hong,World Economic Forum Global Future Council on Artificial General Intelligence,Academia,,,Korea Advanced Institute of Science and Technology
Wan Sie Lee,World Economic Forum Global Future Council on Artificial General Intelligence,Government,,,Singapore
Yoshua Bengio,World Economic Forum Global Future Council on Artificial General Intelligence,Academia,,,University of Montreal
Tabitha Goldstaub,UK AI Council,Coorporation,Luminate,,
Adrian Joseph,UK AI Council,Coorporation,BT Group,,
Adrian Smith,UK AI Council,Nonprofit,,,Alan Turing Institute
Ann Cairns,UK AI Council,Coorporation,Mastercard,,
Claire Craig,UK AI Council,Academia,,,Oxford
David Lane,UK AI Council,Academia,,,Edinburgh Centre for Robotics
Lila Ibrahim,UK AI Council,Coorporation,Google,,
Rachel Dunscombe,UK AI Council,Government,,,NHS Digital Academy
Maire O'Neil,UK AI Council,Academia,,,Queen's University Belfast
Marc Warner,UK AI Council,Coorporation,Faculty,,
Mark Walport,UK AI Council,Government,,,UK Research and Innovation
Martin Tisne,UK AI Council,Coorporation,Luminate,,
Neil Lawrence,UK AI Council,Academia,,,Cambridge University
Nick Jennings,UK AI Council,Academia,,,Loughborough University
Patricia Hodgson,UK AI Council,Government,,,UK Research and Innovation
Paul Clarke,UK AI Council,Government,,,Robotics Growth Partnership
Pete Burnap,UK AI Council,Academia,,,Cardiff University
Priya Lakhani,UK AI Council,Coorporation,CENTURY Tech,,
Wendy Hall,UK AI Council,Academia,,,University of Southampton